entry_date,exit_date,entry_price,exit_price,shares,pnl_per_share,pnl_total,pnl_pct,hold_days,exit_reason
2025-05-12,2025-05-23,749.0,730.01,100,-18.99000000000001,-1899.000000000001,-2.5353805073431253,11,stop_loss
2025-09-15,2025-09-18,868.97,927.0,100,58.02999999999997,5802.999999999997,6.678021105446675,3,profit_target
2025-09-18,2025-09-22,927.0,957.8,100,30.799999999999955,3079.9999999999955,3.3225458468176865,4,profit_target
2026-01-05,2026-01-08,1225.0,1196.44,100,-28.559999999999945,-2855.9999999999945,-2.331428571428567,3,stop_loss
2026-01-15,2026-01-23,1340.5,1387.79,100,47.289999999999964,4728.999999999996,3.527788138754193,8,profit_target
2026-01-27,2026-01-28,1476.99,1444.0,100,-32.99000000000001,-3299.000000000001,-2.2335967068158897,1,stop_loss
