Strategy,Total Trades,Winning Trades,Win Rate (%),Total Return ($),Avg Win ($),Avg Loss ($),Profit Factor,Avg Hold Days,Sharpe Ratio
Original Breakout,13,9,69.23076923076923,36202.0,5208.777777777777,2669.2499999999995,4.390652805090952,5.0,0.4888230655382054
Turtle Strategy,8,5,62.5,548.5599999999996,154.86199999999994,75.25000000000004,3.429944628862458,25.5,0.508649986772502
